"","encuestadora_comisionado","trabajo_campo","muestra","participacion","PP","PSOE","Vox","Movement for Dignity and Citizenship","Caballas","Cs","v1x2","last_day","fuente","titular","urlDW"
"1","SyM Consulting","9–12 Dec 2020",652,49.8,25,20.1,28.3,8.9,"12.7",NA,"3.3",NA,"https://twitter.com/Barometrocm/status/1340944242013839360","SyM Consulting","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
"2","ElectoPanel/Electomanía","1 Apr–15 May 2020",NA,NA,40,24.2,16.4,7.6,"6.4","2.4","15.8",NA,"https://electomania.es/ep-17my-ceuta/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"3","SyM Consulting","1–2 Feb 2020",534,61.7,39.1,24.9,7.9,12.5,"10.1","1.6","14.2",NA,"https://twitter.com/Barometrocm/status/1225113530178973696","SyM Consulting","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
"4","ElectoPanel/Electomanía","16 Aug–26 Sep 2020",NA,NA,38.9,22.1,15.6,10.9,"8.9","2.3","16.8",NA,"https://electomania.es/epauto30s20/","ElectoPanel/Electomanía","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> ElectoPanel/Electomanía </a>"
"5","SyM Consulting","12–13 Sep 2020",687,50.8,29.8,20.5,23.4,11.4,"9.7",NA,"6.4",NA,"https://twitter.com/Barometrocm/status/1306519033215422465","SyM Consulting","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
"6","SyM Consulting","22–23 Jun 2020",564,59.3,35.4,26.1,14.5,8.3,"9.2","1.8","9.3",NA,"https://twitter.com/Barometrocm/status/1276772711956713472","SyM Consulting","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
"7","SyM Consulting","25–26 May 2020",541,65.9,39.3,18.2,8.4,16.8,"12.0","1.4","21.1",NA,"https://twitter.com/Barometrocm/status/1267394447576371200","SyM Consulting","<a href= https://en.wikipedia.org/wiki/2023_Ceuta_Assembly_election target=""_blank"" rel=""noreferrer nofollow"" style=""color: black;
                                        text-decoration: underline""> SyM Consulting </a>"
